,FullDate,Date_time,Date,DayDate,Month,Year,Week,Weekday,Day,Time,Timezone,UTC Time,Link,Heading,Data,City,State,Country,Category,Tags,Source,Summary,Negative_SentimentScore,Neutral_SentimentScore,Positive_SentimentScore,Aggregate_SentimentScore,Sentiment
10,"Aug 10, 2018 03:00 EDT",2018-08-10 03:00:00,2018-08-10,10,Aug,2018,32,5,Friday,03:00:00,EDT,07:00:00,https://www.newswire.com/news/dr-larry-prices-new-book-managing-the-four-different-generations-in-20590730,"Dr. Larry Price's New Book 'Managing the Four Different Generations in the Workplace Effectively, Efficiently, and Successfully' is a Valuable Workplace Strategy Guide.",Unknown,ORLANDO, FLA.,USA,['Books'],"['and Successfully""', 'Dr. Larry Price', 'Efficiently', 'Fulton Books', 'New Book ""Managing the Four Different Generations in the Workpla']", Fulton Books,"Published by Fulton Books, Dr. Larry Price’s book is based on a qualitative phenomenological approach can be a valuable tool in providing critical insight, information, and perspective into select generations for international countries and companies that will be utilizing workers from these generations.
This book contains useful theories and methods for achieving the optimum performances in terms of innovation, collaboration, and sustainability.
Nobody is suggesting that conflicts can be eliminated from human interactions between the different generations in the workplace, however, there are opportunities to manage these conflicts so that the companies can become successful in increasing the bottom line.
Readers who wish to experience this informative and engaging work can purchase “Managing the Four Different Generations in the Workplace Effectively, Efficiently, and Successfully” at bookstores everywhere, or online at the Apple iTunes store, Amazon, Google Play or Barnes and Noble.
Please direct all media inquiries to Gregory Reeves via email at gregory@fultonbooks.com or via telephone at 877-210-0816.",0.041,0.767,0.192,0.9766,Positive
11,"Aug 10, 2018 03:00 EDT",2018-08-10 03:00:00,2018-08-10,10,Aug,2018,32,5,Friday,03:00:00,EDT,07:00:00,https://www.newswire.com/news/russell-j-lamendolas-newly-released-slaying-the-marriage-dragons-20592092,Russell J. Lamendola's Newly Released 'Slaying the Marriage Dragons' Masterfully Presents Ways to Overcome Issues Found in Marriage by Using Biblically Based Principles.,"
""Slaying the Marriage Dragons: A Biblical and Experiential Look at How to Deal with Issues in Marriage with Discussion Questions"" from author Russell J. Lamendola is an insightful and powerful work on the obstacles often encountered in a marriage. By using principles based on Scripture and trusting in the Lord, these obstacles can be defeated and a marriage can be made stronger than ever.
",FLEMINGTON, NJ,USA,['Books'],"['""Slaying the Marriage Dragons: A Biblical and Experiential Look', 'Christian Faith Publishing', 'Russell J. Lamendola']"," Christian Faith Publishing, Inc","By understanding how a Marriage Dragon attacks, the reader gains a stronger perspective on how to defeat them.
By using basic principles based on Scripture, a Marriage Dragon can be defeated, and a marriage can be stronger and better than ever.
Marriage Dragons can be devastating if not dealt with quickly.
In each chapter, a different Marriage Dragon is examined, giving the reader an understanding of how to recognize the dragon, defeat the dragon, and have a stronger marriage.
View a synopsis of “Slaying the Marriage Dragons: A Biblical and Experiential Look at How to Deal with Issues in Marriage with Discussion Questions” on YouTube.",0.138,0.73,0.132,-0.4215,Negative
12,"Aug 10, 2018 03:00 EDT",2018-08-10 03:00:00,2018-08-10,10,Aug,2018,32,5,Friday,03:00:00,EDT,07:00:00,https://www.newswire.com/news/william-and-mary-pamela-schaefers-new-book-historic-churches-in-texas-20592376,William and Mary Pamela Schaefer's New Book 'Historic Churches in Texas' is a Fascinating Narrative About the History of Texas's Historic Churches,"
Recent release ""Historic Churches in Texas"" from Covenant Books authors William and Mary Pamela Schaefer is a substantive account that features the rich Texas culture through the beauty and wonders of the state's historic churches.
",HOUSTON,MASSACHUSETTS.,USA,['Books'],"['""Historic Churches in Texas""', 'Covenant Books', 'William and Mary Pamela Schaefer']", Covenant Books,"Recent release ""Historic Churches in Texas"" from Covenant Books authors William and Mary Pamela Schaefer is a substantive account that features the rich Texas culture through the beauty and wonders of the state's historic churches.
William and Mary Pamela Schaefer, a husband-and-wife team of travelers and history enthusiasts with backgrounds in geology and photography, have completed their new book, “Historic Churches in Texas”: a stunning masterpiece of Texas’s rich religious history.
Readers can purchase “Historic Churches in Texas” at bookstores everywhere, or online at the Apple iTunes store, Amazon, or Barnes and Noble.
Covenant Books specializes in all genres of work which appeal to the Christian market.
Source: Covenant Books",0.0,0.8,0.2,0.9744,Positive
13,"Aug 10, 2018 03:00 EDT",2018-08-10 03:00:00,2018-08-10,10,Aug,2018,32,5,Friday,03:00:00,EDT,07:00:00,https://www.newswire.com/news/james-carpenters-new-book-understanding-how-human-resource-managers-20592377,"James Carpenter's New Book, 'Understanding How Human Resource Managers Rank Their Competencies and the Contributions They Make to Strategic Problem Solving' is an Eye-Opening Dissertation on HRM Policy.","
Recent release ""Understanding How Human Resource Managers Rank Their Competencies and the Contributions They Make to Strategic Problem-Solving"" from Covenant Books author James Carpenter is an in-depth research paper that explores the HRM field and how the skills and competencies developed in this department can be applied to other organizational problems in strategic ways.
",JACKSON, MICH.,USA,['Books'],"['""Understanding How Human Resource Managers Rank Their Competenci', 'Covenant Books', 'James Carpenter']", Covenant Books,"Federal legislation continues exerting regulatory pressures and expanding the role of human resource management.
Covenant books is an international Christian owned and operated publishing house based in Murrells Inlet, South Carolina.
Covenant Books specializes in all genres of work which appeal to the Christian market.
For additional information or media inquiries, contact Covenant Books at 843-507-8373.
Source: Covenant Books",0.038,0.962,0.0,-0.3182,Negative
14,"Aug 10, 2018 03:00 EDT",2018-08-10 03:00:00,2018-08-10,10,Aug,2018,32,5,Friday,03:00:00,EDT,07:00:00,https://www.newswire.com/news/ken-willinghams-new-book-life-in-the-country-through-the-eyes-of-a-kid-20591057,"Ken Willingham's New Book ""Life in the Country Through the Eyes of a Kid: The Good Ole Days (1942-1956)"" is a Charming Autobiography of a Rich Lifetime on the Farm.","
""Life in the Country through the Eyes of a Kid: The Good Ole Days (1942-1956)"" from Ken Willingham is a recollection of life lived in Audrain County in Missouri, telling the tales of farmyard adventures starring the author's family and the surrounding wildlife, compiled in a rich volume for posterity, an invitation to relive a lifetime of hard work through the eyes of a good, honest country boy.
",RUSSELLVILLE, MO,USA,['Books'],"['""Life in the Country through the Eyes of a Kid: The Good Ole Day', 'Covenant Books', 'Ken Willingham']", Covenant Books,"Readers can purchase “Life in the Country through the Eyes of a Kid: The Good Ole Days (1942–1956)” at bookstores everywhere, or online at the Apple iTunes store, Amazon, or Barnes and Noble.
Covenant Books is an international Christian owned and operated publishing house based in Murrells Inlet, South Carolina.
Covenant Books specializes in all genres of work which appeal to the Christian market.
For additional information or media inquiries, contact Covenant Books at 843-507-8373.
Source: Covenant Books",0.0,0.907,0.093,0.765,Positive
15,"Aug 10, 2018 03:00 EDT",2018-08-10 03:00:00,2018-08-10,10,Aug,2018,32,5,Friday,03:00:00,EDT,07:00:00,https://www.newswire.com/news/author-daniel-haros-new-book-universal-war-chronicles-andys-story-is-20587569,"Author Daniel Haro's New Book ""Universal War Chronicles: Andy's Story"" is the Adventurous Tale of a Teenager's Fight Against Rebellious Forces to Save the People He Loves","
Recent release ""Universal War Chronicles: Andy's Story"" from Newman Springs Publishing author Daniel Haro throws the reader into an apocalyptic time where the world is falling to its knees.
",AUBURN, N.Y.,USA,['Books'],"['""Universal War Chronicles: Andy\'s Story""', 'Daniel Haro', 'Newman Springs Publishing']", Newman Springs Publishing,"Recent release ""Universal War Chronicles: Andy's Story"" from Newman Springs Publishing author Daniel Haro throws the reader into an apocalyptic time where the world is falling to its knees.
Daniel Haro has completed his new book “Universal War Chronicles: Andy’s Story”: a riveting battle for the mortal lives that hang in the balance as victims of super-human rogues revolting against their Father.
About Newman Springs Publishing:Newman Springs Publishing is a full-service publishing house for serious authors.
Newman Springs Publishing distributes to tens of thousands of retail outlets throughout North America and internationally.
Source: Newman Springs Publishing",0.187,0.813,0.0,-0.9584,Negative
16,"Aug 10, 2018 03:00 EDT",2018-08-10 03:00:00,2018-08-10,10,Aug,2018,32,5,Friday,03:00:00,EDT,07:00:00,https://www.newswire.com/news/author-lana-lindemanns-new-book-lying-with-the-devil-is-the-story-of-a-20587564,Author Lana Lindemann's New Book 'Lying With the Devil' is the Story of a Young Woman Caught in the Wrong Place and Time by a Brutal Killer Turned Captor.,"
Recent release ""Lying with The Devil"" from Newman Springs Publishing author Lana Lindemann is a gripping tale of the struggle for survival in tandem with another kind of panic as the missing young woman's brother seeks her out.
",BELLEVUE, NEB.,USA,['Books'],"['""Lying with The Devil""', 'Lana Lindemann', 'Newman Springs Publishing']", Newman Springs Publishing,"Published by Newman Springs Publishing, Lana Lindemann’s searing tale leaves the skin of the reader crawling and panic thumping with each turn of the page.
About Newman Springs Publishing:Newman Springs Publishing is a full-service publishing house for serious authors.
Each title produced by Newman Springs Publishing undergoes every step of the professional publishing process, including editing, layout, cover design, circulation, distribution and publicity.
Newman Springs Publishing distributes to tens of thousands of retail outlets throughout North America and internationally.
Source: Newman Springs Publishing",0.054,0.946,0.0,-0.5574,Negative
17,"Aug 10, 2018 03:00 EDT",2018-08-10 03:00:00,2018-08-10,10,Aug,2018,32,5,Friday,03:00:00,EDT,07:00:00,https://www.newswire.com/news/author-betty-hamiltons-new-book-twilight-never-sleeps-is-the-thrilling-20587563,"Author Betty Hamilton's New Book ""Twilight Never Sleeps"" is the Thrilling Story of a Sleepy Town With a Secret to Tell.","
Recent release ""Twilight Never Sleeps"" from Newman Springs Publishing author Betty Hamilton is a mystery based in a small town where everyone knows everything, or so they think, and danger is lurking.
",NORTH LITTLE ROCK, ARK.,USA,['Books'],"['""Twilight Never Sleeps""', 'Betty Hamilton', 'Newman Springs Publishing']", Newman Springs Publishing,"For additional information or media inquiries, contact Newman Springs Publishing at 732-243-8512.
About Newman Springs Publishing:Newman Springs Publishing is a full-service publishing house for serious authors.
Each title produced by Newman Springs Publishing undergoes every step of the professional publishing process, including editing, layout, cover design, circulation, distribution and publicity.
Newman Springs Publishing distributes to tens of thousands of retail outlets throughout North America and internationally.
Source: Newman Springs Publishing",0.019,0.981,0.0,-0.0772,Negative
18,"Aug 10, 2018 03:00 EDT",2018-08-10 03:00:00,2018-08-10,10,Aug,2018,32,5,Friday,03:00:00,EDT,07:00:00,https://www.newswire.com/news/author-nancy-bishops-new-book-a-match-made-in-heaven-is-a-story-of-20587568,"Author Nancy Bishop's New Book ""A Match Made in Heaven"" is a Story of Forbidden Love Taken to the Next Level.","
Recent release ""A Match Made in Heaven"" from Newman Springs Publishing author Nancy Bishop is an interesting twist on a classic story of forbidden love, following characters in two extremely different worlds throughout. 
",AKRON, OHIO,USA,['Books'],"['""A Match Made in Heaven""', 'Nancy Bishop', 'Newman Springs Publishing']", Newman Springs Publishing,"Recent release ""A Match Made in Heaven"" from Newman Springs Publishing author Nancy Bishop is an interesting twist on a classic story of forbidden love, following characters in two extremely different worlds throughout.
About Newman Springs Publishing:Newman Springs Publishing is a full-service publishing house for serious authors.
Each title produced by Newman Springs Publishing undergoes every step of the professional publishing process, including editing, layout, cover design, circulation, distribution and publicity.
Newman Springs Publishing distributes to tens of thousands of retail outlets throughout North America and internationally.
Source: Newman Springs Publishing",0.042,0.855,0.104,0.7964,Positive
19,"Aug 9, 2018 19:40 MDT",2018-08-09 19:40:00,2018-08-09,09,Aug,2018,32,4,Thursday,19:40:00,MDT,01:40:00,https://www.newswire.com/news/opioid-crisis-is-producing-over-115-deaths-per-day-addiction-advocates-20595243,Opioid Crisis is Producing Over 115 Deaths Per Day - Addiction Advocates Fights Back by Providing Free Help,Unknown,FORT COLLINS, COLO.,USA,['Addiction'],"['addiction', 'addiction treatment', 'opioid crisis']", The Addiction Advocates,"The Addiction Advocates have created a free option for those seeking help with their loved ones that are battling opioid addiction.
By offering free help to families and friends of those suffering from opioid addiction The Addiction Advocates works to ease the transition and provide information by offering advice and connection to heroin interventionists as well as treatment centers that focus on opioid addiction.
The Addiction Advocates was formed to battle addiction head on.
By offering free, honest help to those seeking help and their loved ones, we are able to guide people through the choppy waters of addiction.
Source: The Addiction Advocates",0.081,0.615,0.304,0.9826,Positive
20,"Aug 9, 2018 21:22 EDT",2018-08-09 21:22:00,2018-08-09,09,Aug,2018,32,4,Thursday,21:22:00,EDT,01:22:00,https://www.newswire.com/news/world-association-for-vedic-studies-waves-holds-its-successful-13th-20595219,World Association for Vedic Studies (WAVES) Holds Its Successful 13th International Conference,Unknown,DALLAS,MASSACHUSETTS.,USA,[],"['education', 'philosophy', 'Religious studies', 'sanskrit', 'Vedic']",Unknown,"The 13th international conference of the World Association for Vedic Studies (WAVES-2018) was successfully held Aug. 2-5 at the Brookhaven College, Dallas, Texas, centered on the theme of ""Vedic Traditions for Education and Learning.""
Dr. Anupam Ray, Consul General of India, Houston, Texas, who spoke of the enduring relevance of Vedic knowledge in today’s world.
Jeffrey Armstrong, also called Kavindra Rishi, founder of Vedic Academy of Sciences and Arts (VASA), Vancouver, Canada, presented inspiring opening remarks on the Vedic Civilization.
The themes discussed in the parallel sessions at the conference ranged from Vedic education, Vedic mythology and philosophy, Vedic knowledge systems, Sanskrit wisdom, Indian youth and Hinduism, Vedic learning, ancient education and sciences and contemporary Hindu studies.
Both awards, the Saraswati Award and the Veda Vyasa Award, were inaugurated at the WAVES conference 2018 and sponsored by Sanatana Dharma Foundation, Dallas, Texas.",0.0,0.875,0.125,0.9607,Positive
21,"Aug 9, 2018 16:00 PDT",2018-08-09 16:00:00,2018-08-09,09,Aug,2018,32,4,Thursday,16:00:00,PDT,23:00:00,https://www.newswire.com/news/upshot-by-rodney-strong-wins-best-of-show-in-packaging-contest-20592392,Upshot by Rodney Strong Wins Best of Show in Packaging Contest,"
Fifth annual Wines & Vines Packaging Conference draws more than 400
",YOUNTVILLE, CALIF.,USA,"['Awards', 'Wine']","['awards', 'branding', 'design', 'marketing', 'packaging', 'wine']", Wines & Vines,"Fifth annual Wines & Vines Packaging Conference draws more than 400Upshot, a brand developed by Rodney Strong Wine Estates in Healdsburg, Calif., won the gold medal for best classic wine packaging and was also named Best in Show by a panel of judges comprised of experts from the wine trade, retail, and media.
The winners of the wine packaging design contest were announced in a session that came at the end of Wines & Vines’ annual packaging conference that drew more than 400 attendees.
Now in its fifth year, the conference has grown to be the wine industry’s leading conference focused wholly on wine packaging, brand design, and market strategy.
Gold and Best in Show: Upshot, entered by Rodney Strong Wine Estates, Healdsburg, Calif.Silver: Deep Sea, entered by Conway Vineyards, Santa Barbara, Calif.
Alternative(Any wine packaging aside from the standard 750 ml glass bottle.)",0.0,0.804,0.196,0.9858,Positive
22,"Aug 9, 2018 15:13 MDT",2018-08-09 15:13:00,2018-08-09,09,Aug,2018,32,4,Thursday,15:13:00,MDT,21:13:00,https://www.newswire.com/news/crestcom-international-wins-silver-stevie-award-in-2018-international-20595148,Crestcom International Wins Silver Stevie® Award in 2018 International Business Awards®,Unknown,GREENWOOD VILLAGE, CO,USA,['Business News'],"['award', 'international business', 'leadership', 'stevie award']", Crestcom International LLC,"Crestcom International LLC was named the winner of a Silver Stevie® Award in the Company of the Year category in The 15th Annual International Business Awards® today.
The International Business Awards are the world’s premier business awards program.
About CrestcomCrestcom International, LLC is an international leadership development organization that has trained more than 1 million leaders for 25,000 businesses in 60 countries across the globe.
About the Stevie® AwardsStevie Awards are conferred in seven programs: the Asia-Pacific Stevie Awards, the German Stevie Awards, The American Business Awards®, The International Business Awards®, the Stevie Awards for Women in Business, the Stevie Awards for Great Employers and the Stevie Awards for Sales & Customer Service.
Source: Crestcom International LLC",0.0,0.744,0.256,0.9876,Positive
23,"Aug 9, 2018 15:37 EDT",2018-08-09 15:37:00,2018-08-09,09,Aug,2018,32,4,Thursday,15:37:00,EDT,19:37:00,https://www.newswire.com/news/the-liberty-medal-2018-winners-announced-20595135,The Liberty Medal 2018 Winners Announced,"
The Liberty Medal, made by Hamilton Jewelers
",PRINCETON, N.J.,USA,"['Awards', 'Conventions, Trade Shows, Meetings', 'Events']","['Awards', 'family-owned', 'George W. Bush', 'Laura Bush', 'Philadelphia', 'Princeton business', 'The Constitution Center', 'The Liberty Medal']", Hamilton Jewelers,"The Liberty Medal, made by Hamilton JewelersJust announced, the recipients of the 2018 Liberty Medal are President George W. Bush and former first lady Mrs. Laura Bush for their commitment to veterans.
The Liberty Medal is awarded annually by the National Constitution Center to recognize men and women of courage and conviction who have strived to secure the blessings of liberty to people around the globe.
The award will be presented at the 30th Annual Liberty Medal Ceremony on November 11, 2018, at the National Constitution Center in Philadelphia.
Handcrafted by Hamilton Jewelers, the medal is a tremendous acknowledgment of individuals who display exemplary humanitarian efforts.
Source: Hamilton Jewelers",0.0,0.646,0.354,0.9937,Positive
